Company Name,Industry,Symbol,Series,ISIN Code
EPack Prefab Technologies Ltd.,Capital Goods,EPACKPEB,EQ,INE0MLS01022
ESDS Software Solution Ltd.,Information Technology,ESDS,EQ,INE0DRI01029
Emmvee Photovoltaic Power Ltd.,Capital Goods,EMMVEE,EQ,INE1C6T01020
Euro Pratik Sales Ltd.,Consumer Durables,EUROPRATIK,EQ,INE198501012
Excelsoft Technologies Ltd.,Information Technology,EXCELSOFT,EQ,INE606N01019
Fabtech Technologies Ltd.,Healthcare,FABTECH,EQ,INE0HF201011
Fractal Analytics Ltd.,Information Technology,FRACTAL,EQ,INE212S01015
Fujiyama Power Systems Ltd.,Capital Goods,UTLSOLAR,EQ,INE12UR01024
GK Energy Ltd.,Construction,GKENERGY,EQ,INE1AG301022
GNG Electronics Ltd.,Information Technology,EBGNG,EQ,INE18JU01028
GSP Crop Science Ltd.,Chemicals,GSPCROP,EQ,INE713R01022
Gaja Alternative Asset Management Ltd.,Financial Services,GAJA,EQ,INE18UN01038
Ganesh Consumer Products Ltd.,Fast Moving Consumer Goods,GANESHCP,EQ,INE652V01016
Gaudium IVF and Women Health Ltd.,Healthcare,GAUDIUMIVF,EQ,INE0P8B01020
Gem Aromatics Ltd.,Chemicals,GEMAROMA,EQ,INE06XZ01023
Glass Wall Systems (India) Ltd.,Construction Materials,GLASSWALL,EQ,INE644Q01039
Glottis Ltd.,Services,GLOTTIS,EQ,INE0TQE01026
Gujarat Kidney And Super Speciality Ltd.,Healthcare,GKSL,EQ,INE0V0W01025
HDB Financial Services Ltd.,Financial Services,HDBFS,EQ,INE756I01012
Hexagon Nutrition Ltd.,Fast Moving Consumer Goods,HEXAGON,BE,INE0JUI01012
Highway Infrastructure Ltd.,Services,HILINFRA,EQ,INE00RL01028
Horizon Industrial Parks Ltd.,Realty,HORIZONIND,EQ,INE685T01010
Hy-Tech Engineers Ltd.,Capital Goods,HTEL,EQ,INE0LEG01024
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC,EQ,INE346A01027
INDO-MIM Ltd.,Capital Goods,INDOMIM,EQ,INE084101034
Indiqube Spaces Ltd.,Services,INDIQUBE,EQ,INE06ST01018
Indogulf Cropsciences Ltd.,Chemicals,IGCL,EQ,INE05J901018
Innovision Ltd.,Services,INNOVISION,EQ,INE0ADB01012
Ivalue Infosolutions Ltd.,Information Technology,IVALUE,EQ,INE056801025
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012
Jain Resource Recycling Ltd.,Metals & Mining,JAINREC,EQ,INE0YD401026
Jaro Institute of Technology Management and Research Ltd.,Consumer Services,JARO,EQ,INE00YJ01010
Juniper Green Energy Ltd.,Power,JNPR,EQ,INE05C901015
KSH International Ltd.,Capital Goods,KSHINTL,EQ,INE987S01020
Kanohar Electricals Ltd.,Capital Goods,KANOHAR,EQ,INE877D01025
Karamtara Engineering Ltd.,Capital Goods,KARAMTARA,EQ,INE590T01012
Knack Packaging Ltd.,Capital Goods,KNACK,EQ,INE17QZ01016
Kusumgar Ltd.,Textiles,KUSUMGAR,EQ,INE0ISX01025
LCC Projects Ltd.,Construction,LCCPROJECT,EQ,INE1FPN01026
LEAP India Ltd.,Services,LEAPIND,EQ,INE00GO01025
LG Electronics India Ltd.,Consumer Durables,LGEINDIA,EQ,INE324D01010
Lalithaa Jewellery Mart Ltd.,Consumer Durables,LALITHAA,EQ,INE0K9O01026
Laser Power & Infra Ltd.,Capital Goods,LASERPOWER,EQ,INE17IR01028
Laxmi India Finance Ltd.,Financial Services,LAXMIINDIA,EQ,INE06WU01026
Lenskart Solutions Ltd.,Consumer Services,LENSKART,EQ,INE956O01016
Lohia Corp Ltd.,Capital Goods,LCL,EQ,INE0QJW01029
Lumino Industries Ltd.,Capital Goods,LUMINO,EQ,INE185Q01025
M & B Engineering Ltd.,Construction,MBEL,EQ,INE08N601015
MV Electrosystems Ltd.,Capital Goods,MVELECTRO,EQ,INE0OWZ01020
Mangal Electrical Industries Ltd.,Capital Goods,MEIL,EQ,INE0PKD01011
Manipal Health Enterprises Ltd.,Healthcare,MANIPALHOS,EQ,INE459N01021
Manipal Payment and Identity Solutions Ltd.,Financial Services,MPIMANIPAL,EQ,INE241U01028
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015
Midwest Ltd.,Consumer Durables,MIDWESTLTD,EQ,INE0XAD01024
Milky Mist Dairy Food Ltd.,Fast Moving Consumer Goods,MILKYMIST,EQ,INE00IT01020
Molbio Diagnostics Ltd.,Healthcare,MOLBIO,EQ,INE869T01028
Nephrocare Health Services Ltd.,Healthcare,NEPHROPLUS,EQ,INE428V01029
Om Power Transmission Ltd.,Construction,OMPOWER,EQ,INE25E901019
Omnitech Engineering Ltd.,Capital Goods,OMNI,EQ,INE0UH301010
OnEMI Technology Solutions Ltd.,Financial Services,KISSHT,EQ,INE12F801023
Orkla India Ltd.,Fast Moving Consumer Goods,ORKLAINDIA,EQ,INE16NZ01023
PNGS Reva Diamond Jewellery Ltd.,Consumer Durables,PNGSREVA,EQ,INE1RDG01013
Pace Digitek Ltd.,Telecommunication,PACEDIGITK,EQ,INE0S3G01027
Park Medi World Ltd.,Healthcare,PARKHOSPS,EQ,INE119201023
Patel Retail Ltd.,Consumer Services,PATELRMART,EQ,INE0R8B01010
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018
Powerica Ltd.,Capital Goods,POWERICA,EQ,INE921L01032
Pranav Constructions Ltd.,Realty,PRANAV,EQ,INE0H4201019
Prasol Chemicals Ltd.,Chemicals,PRASOLCHEM,EQ,INE455U01024
Purple Style Labs Ltd.,Consumer Services,PERNIASPOP,EQ,INE0I1B01016
Rajputana Stainless Ltd.,Capital Goods,RSL,EQ,INE313L01016
Regaal Resources Ltd.,Fast Moving Consumer Goods,REGAAL,EQ,INE0MHO01029
Rentomojo Ltd.,Services,RENTOMOJO,EQ,INE08T701025
Rubicon Research Ltd.,Healthcare,RUBICON,EQ,INE506V01022
SBI Funds Management Ltd.,Financial Services,SBIFUNDS,EQ,INE640G01020
SEDEMAC Mechatronics Ltd.,Automobile and Auto Components,SEDEMAC,EQ,INE00XB01019
SRI LOTUS DEVELOPERS AND REALTY Ltd.,Realty,LOTUSDEV,BE,INE0V9Q01010
Saatvik Green Energy Ltd.,Capital Goods,SAATVIKGL,EQ,INE13B501022
Sai Parenterals Ltd.,Healthcare,SAIPARENT,EQ,INE0H9F01037
Sambhv Steel Tubes Ltd.,Capital Goods,SAMBHV,EQ,INE12NJ01018
Seshaasai Technologies Ltd.,Financial Services,STYL,EQ,INE04VU01023
Shadowfax Technologies Ltd.,Services,SHADOWFAX,EQ,INE12UN01015
Shankesh Jewellers Ltd.,Consumer Durables,SHANKESH,EQ,INE1WFC01025
Shanti Gold International Ltd.,Consumer Durables,SHANTIGOLD,EQ,INE06ZD01017
Shiprocket Ltd.,Services,SHIPROCKET,EQ,INE0FOO01011
Shreeji Shipping Global Ltd.,Services,SHREEJISPG,EQ,INE1B6101010
Shringar House of Mangalsutra Ltd.,Consumer Durables,SHRINGARMS,EQ,INE1B3L01017
Skyways Air Services Ltd.,Services,SKYWAYS,EQ,INE0PX301025
Smartworks Coworking Spaces Ltd.,Services,SMARTWORKS,EQ,INE0NAZ01010
Solarworld Energy Solutions Ltd.,Construction,SOLARWORLD,EQ,INE0TY101024
Steamhouse India Ltd.,Chemicals,STEAMHOUSE,EQ,INE0FRO01022
Studds Accessories Ltd.,Automobile and Auto Components,STUDDS,EQ,INE00Q601028
Sudeep Pharma Ltd.,Chemicals,SUDEEPPHRM,EQ,INE0QPI01025
Sunshine Pictures Ltd.,Media Entertainment & Publication,SUNSHINE,EQ,INE1B3O01011
Symbiotec Pharmalab Ltd.,Healthcare,SYMBIOTEC,EQ,INE899I01028
Tata Capital Ltd.,Financial Services,TATACAP,EQ,INE976I01016
Technocraft Ventures Ltd.,Utilities,TECHNOCRAF,EQ,INE1D0W01018
Tempsens Instruments (India) Ltd.,Capital Goods,TEMPSENS,EQ,INE1KZI01025
Tenneco Clean Air India Ltd.,Automobile and Auto Components,TENNIND,EQ,INE19RI01016
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD,EQ,INE103V01028
TruAlt Bioenergy Ltd.,Fast Moving Consumer Goods,TRUALT,EQ,INE0MWH01014
Turtlemint Fintech Solutions Ltd.,Financial Services,TURTLEMINT,EQ,INE0OC301013
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013
VMS TMT Ltd.,Capital Goods,VMSTMT,EQ,INE0SJA01013
Veegaland Developers Ltd.,Realty,VEEGALAND,BE,INE1JTV01015
Vidya Wires Ltd.,Capital Goods,VIDYAWIRES,EQ,INE14UN01029
Vikram Solar Ltd.,Capital Goods,VIKRAMSOLR,EQ,INE078V01014
Vikran Engineering Ltd.,Construction,VIKRAN,EQ,INE01R501028
Wakefit Innovations Ltd.,Consumer Durables,WAKEFIT,EQ,INE0E7301029
Waterways Leisure Tourism Ltd.,Consumer Services,CORDELIA,EQ,INE0LZF01039
WeWork India Management Ltd.,Services,WEWORK,EQ,INE085001019
Xtranet Technologies Ltd.,Information Technology,XTRANET,EQ,INE0NG701011
